DIFFICULTY,CHANNELS,CHANNEL_INDEX,ELAPSED_TIME
26,64,16,8.914205208s
26,64,16,10.096153542s
26,64,53,11.737523667s
26,64,16,9.788839125s
26,1,0,32.129785s
26,64,15,10.765106875s
26,64,53,23.226927833s
26,64,14,7.083272458s
26,64,48,48.038946333s
26,64,62,19.020181791s
26,64,37,23.125846959s
26,64,42,22.090109875s
33,64,37,9m23.295060042s
15,64,54,49.505709ms
25,64,26,19.119258125s
25,64,57,457.044125ms
25,64,30,4.381721042s
25,64,22,1m4.323188042s
25,64,13,26.451073583s
25,64,19,18.753147791s
25,64,1,5.977243167s
25,64,38,6.977531666s
25,64,11,3.573708709s
25,64,3,19.605342334s
25,64,42,1m0.449966584s
25,64,52,1m44.643054208s
25,64,24,1m5.5531625s
25,64,13,6.783316917s
25,64,32,45.741089125s
25,64,10,7.414048209s
25,64,34,1.413129125s
25,64,29,21.9971205s
25,64,32,41.156511625s
25,64,58,19.65916775s
25,64,50,1m32.04701075s
15,64,36,5.573083ms
15,64,2,4.560083ms
15,64,31,497.708µs
15,64,43,15.027541ms
15,64,54,47.4545ms
15,64,56,83.406709ms
15,64,43,36.816334ms
15,64,6,52.60475ms
15,64,31,1.548625ms
15,64,31,855.333µs
15,64,31,33.549791ms
15,64,56,80.368458ms
15,64,19,35.231959ms
15,64,31,1.497ms
15,64,36,351.06175ms
15,64,31,146.217583ms
15,64,19,102.494625ms
15,64,36,258.31475ms
15,64,31,258.074875ms
15,64,19,128.595667ms
15,64,54,113.805875ms
15,64,10,112.821541ms
15,64,1,75.791125ms
15,64,54,242.987542ms
15,64,19,136.111708ms
15,64,31,72.397917ms
15,64,31,113.673083ms
15,64,2,227.309459ms
15,64,54,126.501209ms
15,64,2,3.041625ms
15,64,54,1.188375ms
15,64,54,89.791791ms
15,64,54,172.900416ms
15,64,31,132.994875ms
15,64,56,94.725666ms
15,64,36,176.956292ms
15,64,19,296.70125ms
15,64,2,116.351375ms
15,64,2,245.534375ms
15,64,31,731.541µs
15,64,36,6.579291ms
15,64,19,5.71975ms
15,64,36,36.804792ms
15,64,2,1.1965ms
15,64,2,51.620375ms
15,64,36,57.324667ms
15,64,36,61.281875ms
15,64,2,51.844292ms
15,64,1,23.687709ms
15,64,31,1.857ms
15,64,31,913.041µs
15,64,1,5.300916ms
15,64,1,6.104458ms
15,64,2,30.5275ms
15,64,36,3.8435ms
15,64,31,562.083µs
15,64,31,1.763458ms
15,64,2,25.47275ms
15,64,19,139.008292ms
15,64,2,108.834041ms
15,64,31,306.168166ms
15,64,56,3.960792ms
